pergunta,resposta
"O que é Big Bang?","O Big Bang é a teoria científica que explica a origem do universo há cerca de 13,8 bilhões de anos."
"O que é aquecimento global?","É o aumento gradual da temperatura média da Terra causado principalmente por atividades humanas."
"O que é reciclagem?","Reciclagem é o processo de transformar materiais usados em novos produtos, reduzindo o lixo."
"O que significa sustentabilidade?","Sustentabilidade é o uso responsável dos recursos naturais para não comprometer as gerações futuras."
"O que é energia renovável?","São fontes de energia que se renovam naturalmente, como solar, eólica e hidrelétrica."
"Qual é o idioma oficial da China?","O idioma oficial da China é o mandarim."
"Qual é o idioma oficial da Índia?","A Índia possui dois idiomas oficiais: híndi e inglês."
"Qual é o idioma oficial do Egito?","O idioma oficial do Egito é o árabe."
"Qual é o prato típico do Japão?","Um dos pratos típicos mais famosos do Japão é o sushi."
"Qual é o prato típico da Itália?","A Itália é conhecida pela pizza e pelo macarrão."
"Qual é o prato típico do México?","O prato típico mais famoso do México é o taco."
"Quem foi Shakespeare?","William Shakespeare foi um dramaturgo inglês considerado um dos maiores escritores de todos os tempos."
"Quem foi Van Gogh?","Vincent van Gogh foi um pintor pós-impressionista holandês famoso por obras como 'Noite Estrelada'."
"Quem foi Mozart?","Wolfgang Amadeus Mozart foi um compositor austríaco do período clássico."
"Quem foi Beethoven?","Ludwig van Beethoven foi um dos maiores compositores da música erudita ocidental."
"Quem foi Pablo Picasso?","Picasso foi um pintor espanhol e um dos fundadores do cubismo."
"Qual é o maior mamífero terrestre?","O maior mamífero terrestre é o elefante africano."
"Qual é a ave que não voa e é a maior do mundo?","A ema e o avestruz são aves que não voam, sendo o avestruz a maior."
"Qual é a velocidade da luz?","A velocidade da luz no vácuo é de aproximadamente 300 mil km/s."
"Qual é a velocidade do som?","A velocidade do som no ar é de aproximadamente 343 m/s."
"O que é Wi-Fi?","Wi-Fi é uma tecnologia que permite conexão sem fio à internet."
"O que é Bluetooth?","Bluetooth é uma tecnologia de comunicação sem fio de curto alcance."
"O que é Inteligência Artificial?","Inteligência Artificial é a capacidade de sistemas computacionais simularem a inteligência humana."
"O que é Machine Learning?","Machine Learning é um ramo da IA que permite que sistemas aprendam padrões a partir de dados."
"O que é a nuvem na computação?","A nuvem é o uso de servidores remotos para armazenar e processar dados via internet."
"O que é criptografia?","Criptografia é a técnica de proteger informações transformando-as em códigos ilegíveis para terceiros."
"O que é firewall?","Firewall é uma barreira de segurança que controla o tráfego de rede entre sistemas."
"O que é phishing?","Phishing é um golpe em que criminosos tentam roubar dados se passando por instituições confiáveis."
"O que é malware?","Malware é um software malicioso projetado para danificar ou roubar informações de sistemas."
"O que é um vírus de computador?","É um tipo de malware que se replica e pode danificar arquivos e sistemas."
"O que é um hacker?","Hacker é alguém que explora sistemas computacionais, podendo ser ético ou mal-intencionado."
"O que é programação?","Programação é o processo de escrever instruções para que o computador execute tarefas."
"O que é Python?","Python é uma linguagem de programação popular, conhecida por sua simplicidade e versatilidade."
"O que é JavaScript?","JavaScript é uma linguagem usada principalmente para desenvolvimento web."
"O que é HTML?","HTML é a linguagem de marcação usada para estruturar páginas da web."
"O que é CSS?","CSS é a linguagem usada para definir o estilo e aparência de páginas da web."
"O que é SQL?","SQL é uma linguagem para gerenciar e consultar bancos de dados relacionais."
"O que é Linux?","Linux é um sistema operacional de código aberto."
"O que é Windows?","Windows é um sistema operacional desenvolvido pela Microsoft."
"O que é Android?","Android é um sistema operacional para dispositivos móveis baseado em Linux."
"O que é iOS?","iOS é o sistema operacional dos dispositivos móveis da Apple."
"O que é Google?","Google é uma empresa de tecnologia conhecida principalmente por seu mecanismo de busca."
"O que é YouTube?","YouTube é uma plataforma de compartilhamento de vídeos."
"O que é WhatsApp?","WhatsApp é um aplicativo de mensagens instantâneas."
"O que é Instagram?","Instagram é uma rede social focada em compartilhamento de fotos e vídeos."
"O que é TikTok?","TikTok é uma rede social de vídeos curtos e criativos."
"O que é Facebook?","Facebook é uma rede social criada em 2004 por Mark Zuckerberg."
"O que é Twitter?","Twitter é uma rede social baseada em mensagens curtas, chamadas tweets."
"O que é Netflix?","Netflix é uma plataforma de streaming de filmes e séries."
"O que é Spotify?","Spotify é uma plataforma de streaming de músicas e podcasts."
"O que é um eclipse solar?","É quando a Lua passa entre a Terra e o Sol, bloqueando total ou parcialmente a luz solar."
"O que é um eclipse lunar?","É quando a Terra fica entre o Sol e a Lua, projetando sua sombra sobre a Lua."
"O que são fósseis?","Fósseis são restos ou vestígios de organismos preservados em rochas ao longo do tempo."
"O que é arqueologia?","Arqueologia é a ciência que estuda as sociedades antigas por meio de vestígios materiais."
"O que é paleontologia?","Paleontologia é o estudo de fósseis e formas de vida do passado."
"O que é astronomia?","Astronomia é a ciência que estuda os astros, como estrelas, planetas e galáxias."
"O que é astrologia?","Astrologia é uma prática que busca interpretar a influência dos astros sobre a vida das pessoas."
"O que é geologia?","Geologia é a ciência que estuda a composição e a estrutura da Terra."
"O que é biologia?","Biologia é a ciência que estuda os seres vivos."
"O que é química?","Química é a ciência que estuda a composição e transformação da matéria."
"O que é física?","Física é a ciência que estuda as leis da natureza, energia e movimento."
"O que é matemática?","Matemática é a ciência que estuda números, formas, estruturas e padrões."
"O que é filosofia?","Filosofia é o estudo das questões fundamentais sobre a existência, o conhecimento e a moral."
"O que é sociologia?","Sociologia é o estudo da sociedade, suas relações e instituições."
"O que é psicologia?","Psicologia é a ciência que estuda o comportamento e os processos mentais humanos."
"O que é economia?","Economia é a ciência que estuda a produção, distribuição e consumo de bens e serviços."
"O que é história?","História é a ciência que estuda os fatos e processos do passado da humanidade."
"O que é geografia?","Geografia é a ciência que estuda a superfície da Terra e suas relações com os seres humanos."
"O que é política?","Política é a prática e teoria de governar e organizar sociedades."
"O que é democracia?","Democracia é um sistema político em que o poder é exercido pelo povo, geralmente por meio de eleições."
"O que é ditadura?","Ditadura é um regime de governo em que o poder está concentrado em uma única pessoa ou grupo."
"O que é monarquia?","Monarquia é um sistema de governo chefiado por um rei ou rainha."
"O que é república?","República é um sistema político em que o chefe de Estado é eleito, direta ou indiretamente."
"O que é ONU?","A ONU é a Organização das Nações Unidas, criada em 1945 para promover a paz e cooperação internacional."
"O que é OTAN?","A OTAN é a Organização do Tratado do Atlântico Norte, uma aliança militar internacional."
"O que é União Europeia?","É uma união política e econômica de países europeus."
"O que é Mercosul?","É um bloco econômico formado por países da América do Sul."
"O que é FMI?","O FMI é o Fundo Monetário Internacional, que apoia financeiramente países em dificuldades."
"O que é Banco Mundial?","É uma instituição internacional que financia projetos de desenvolvimento."
"O que é inflação?","Inflação é o aumento geral e contínuo dos preços de bens e serviços."
"O que é deflação?","Deflação é a queda generalizada dos preços em uma economia."
"O que é PIB?","PIB significa Produto Interno Bruto, a soma de todos os bens e serviços finais produzidos em um país."
"O que é IDH?","IDH é o Índice de Desenvolvimento Humano, que mede qualidade de vida, educação e renda."
"O que é globalização?","Globalização é o processo de integração econômica, cultural e social entre os países."
"O que é internet das coisas?","Internet das Coisas é a conexão de dispositivos físicos à internet para coletar e trocar dados."
"O que é 5G?","5G é a quinta geração de redes móveis, com maior velocidade e menor latência."
"O que é realidade aumentada?","É a sobreposição de elementos virtuais no mundo real por meio de dispositivos."
"O que é realidade virtual?","É uma simulação digital imersiva criada por computadores."
"O que é metaverso?","É um espaço virtual coletivo e compartilhado que mistura realidade aumentada, virtual e digital."
"O que é criptomoeda?","É uma moeda digital descentralizada baseada em criptografia, como o Bitcoin."
"O que é blockchain?","Blockchain é uma tecnologia de registro distribuído usada em criptomoedas e outros sistemas."
"O que é NFT?","NFT significa Token Não Fungível, um ativo digital único registrado em blockchain."
"O que é inteligência coletiva?","É o conhecimento compartilhado e construído por grupos de pessoas."
"O que é crowdsourcing?","É a prática de obter ideias, serviços ou conteúdo de um grande grupo de pessoas via internet."
"O que é open source?","Open source é software de código aberto, que pode ser estudado, modificado e distribuído livremente."
"O que é chatbot?","Chatbot é um programa que simula conversas e responde perguntas de usuários automaticamente."
"O que é assistente virtual?","É um software que auxilia usuários em tarefas por meio de linguagem natural, como eu!"
"O que é nuvem pública?","É um modelo de computação em que recursos são oferecidos por terceiros pela internet."
"O que é nuvem privada?","É uma infraestrutura de nuvem exclusiva para uma organização."
"O que é data center?","É um local que abriga servidores e sistemas de processamento de dados."
"O que é big data?","Big Data é o conjunto de dados extremamente grandes que exigem técnicas avançadas para análise."
"O que é deep web?","É a parte da internet que não está indexada em mecanismos de busca."
"O que é dark web?","É a parte da deep web acessível apenas por softwares específicos, muitas vezes associada a atividades ilegais."
"O que é GPS?","GPS é o sistema de posicionamento global usado para navegação."
"O que é drone?","Drone é um veículo aéreo não tripulado, controlado remotamente ou de forma autônoma."
"O que é satélite?","Satélite é um objeto natural ou artificial que orbita um planeta."
"O que é foguete?","Foguete é um veículo projetado para levar cargas ou pessoas ao espaço."
"O que é estação espacial?","É uma estrutura habitável que orbita a Terra, usada para pesquisa científica."
"O que é telescópio Hubble?","É um telescópio espacial lançado em 1990 que revolucionou a astronomia."
"O que é Marte?","Marte é o quarto planeta do Sistema Solar, conhecido como planeta vermelho."
"O que é Vênus?","Vênus é o segundo planeta do Sistema Solar, similar em tamanho à Terra."
"O que é Saturno?","Saturno é o sexto planeta, famoso por seus anéis."
"O que é Netuno?","Netuno é o oitavo planeta do Sistema Solar, conhecido por seus ventos fortes."
"O que é Urano?","Urano é o sétimo planeta do Sistema Solar, inclinado quase de lado."
"O que é Sol?","O Sol é a estrela central do Sistema Solar."
"O que é lua cheia?","É a fase em que a Lua está completamente iluminada vista da Terra."
"O que é lua nova?","É a fase em que a Lua não é visível porque está entre a Terra e o Sol."
"O que é cometa?","Cometa é um corpo celeste composto de gelo, poeira e rochas que libera cauda ao se aproximar do Sol."
"O que é asteroide?","Asteroide é um corpo rochoso que orbita o Sol, geralmente entre Marte e Júpiter."
"O que é meteoro?","Meteoro é o fenômeno luminoso causado pela entrada de um corpo celeste na atmosfera da Terra."
"O que é estrela cadente?","Estrela cadente é o nome popular para meteoros."
"Qual é a velocidade média de um carro de Fórmula 1?","Um carro de Fórmula 1 pode ultrapassar 350 km/h em retas."
"Quem foi o primeiro presidente do Brasil?","O primeiro presidente do Brasil foi Marechal Deodoro da Fonseca."
"Quem foi o primeiro presidente dos Estados Unidos?","O primeiro presidente dos EUA foi George Washington."
"Quem foi Mahatma Gandhi?","Mahatma Gandhi foi um líder indiano que defendeu a independência por meio da não violência."
"Quem foi Martin Luther King?","Martin Luther King foi um líder americano pelos direitos civis e contra a segregação racial."
"Quem foi Nelson Mandela?","Nelson Mandela foi líder sul-africano que lutou contra o apartheid e se tornou presidente do país."
"Quem foi Abraham Lincoln?","Abraham Lincoln foi presidente dos EUA e aboliu a escravidão no país."
"Quem foi Juscelino Kubitschek?","Foi presidente do Brasil e responsável pela construção de Brasília."
"Quem foi Getúlio Vargas?","Getúlio Vargas foi presidente do Brasil por quatro mandatos, conhecido como o 'pai dos pobres'."
"Quem foi Dom Pedro II?","Dom Pedro II foi o segundo e último imperador do Brasil."
"Quem foi Dom Pedro I?","Dom Pedro I foi o primeiro imperador do Brasil e proclamou a Independência."
"Quem foi Alexandre, o Grande?","Alexandre, o Grande, foi um conquistador macedônio que criou um dos maiores impérios da antiguidade."
"Quem foi Napoleão Bonaparte?","Napoleão foi um militar e imperador francês que dominou grande parte da Europa no século XIX."
"Quem foi Júlio César?","Júlio César foi um líder militar e político da Roma Antiga."
"Quem foi Cleópatra?","Cleópatra foi rainha do Egito e uma das mulheres mais famosas da história."
"Quem foi Joana d’Arc?","Joana d’Arc foi uma camponesa francesa que liderou tropas e virou santa da Igreja Católica."
"Quem foi Leonardo da Vinci?","Leonardo da Vinci foi um gênio renascentista, pintor, inventor e cientista."
"Quem foi Galileu Galilei?","Galileu foi um cientista italiano considerado o pai da astronomia moderna."
"Quem foi Marie Curie?","Marie Curie foi uma cientista pioneira em radioatividade e primeira mulher a ganhar um Nobel."
"Quem foi Charles Darwin?","Darwin foi o cientista que formulou a teoria da evolução das espécies."
"Quem foi Sigmund Freud?","Freud foi médico austríaco e criador da psicanálise."
"Quem foi Karl Marx?","Karl Marx foi filósofo e economista, autor de O Capital e O Manifesto Comunista."
"Quem foi Friedrich Nietzsche?","Nietzsche foi filósofo alemão conhecido por frases como 'Deus está morto'."
"Quem foi Platão?","Platão foi filósofo grego, discípulo de Sócrates e mestre de Aristóteles."
"Quem foi Aristóteles?","Aristóteles foi filósofo grego, discípulo de Platão e mestre de Alexandre, o Grande."
"Quem foi Sócrates?","Sócrates foi filósofo grego considerado o pai da filosofia ocidental."
"Quem foi Confúcio?","Confúcio foi um filósofo chinês que influenciou a cultura e a moral da China."
"Quem foi Buda?","Buda foi um líder espiritual da Índia, fundador do budismo."
"Quem foi Maomé?","Maomé foi o profeta fundador do islamismo."
"Quem foi Jesus Cristo?","Jesus Cristo é a figura central do cristianismo."
"Quem foi Moisés?","Moisés é uma figura bíblica que libertou os hebreus do Egito."
"Quem foi Noé?","Segundo a Bíblia, Noé construiu uma arca para salvar sua família e animais do dilúvio."
"O que é a Bíblia?","A Bíblia é o livro sagrado do cristianismo."
"O que é o Alcorão?","O Alcorão é o livro sagrado do islamismo."
"O que é a Torá?","A Torá é o livro sagrado do judaísmo."
"O que é o Bhagavad Gita?","É um texto sagrado do hinduísmo que faz parte do épico Mahabharata."
"O que é o budismo?","Budismo é uma religião e filosofia baseada nos ensinamentos de Buda."
"O que é o cristianismo?","Cristianismo é a religião baseada na vida e ensinamentos de Jesus Cristo."
"O que é o islamismo?","Islamismo é a religião fundada por Maomé, baseada no Alcorão."
"O que é o judaísmo?","Judaísmo é a religião monoteísta mais antiga, baseada na Torá."
"O que é o hinduísmo?","Hinduísmo é uma religião indiana, considerada uma das mais antigas do mundo."
"O que é mitologia grega?","É o conjunto de mitos e lendas da Grécia Antiga sobre deuses e heróis."
"O que é mitologia romana?","São os mitos da Roma Antiga, muitos inspirados nos gregos."
"O que é mitologia nórdica?","São as lendas dos povos escandinavos, com deuses como Odin e Thor."
"O que é mitologia egípcia?","São os mitos religiosos do Egito Antigo, com deuses como Rá e Ísis."
"O que é mitologia indígena brasileira?","São as lendas e crenças dos povos nativos do Brasil."
"O que é carnaval?","Carnaval é uma festa popular comemorada antes da Quaresma, famosa no Brasil."
"O que é Natal?","Natal é uma celebração cristã que comemora o nascimento de Jesus Cristo em 25 de dezembro."
"O que é Páscoa?","Páscoa é uma celebração cristã da ressurreição de Jesus Cristo."
"O que é Halloween?","Halloween é uma festa de origem celta celebrada em 31 de outubro."
"O que é Ano Novo?","Ano Novo é a celebração da virada do calendário em 1º de janeiro."
"O que é Dia da Independência do Brasil?","É celebrado em 7 de setembro, quando Dom Pedro I proclamou a Independência."
"O que é Dia da República no Brasil?","É comemorado em 15 de novembro, marcando a proclamação da República em 1889."
"O que é Dia do Trabalho?","É celebrado em 1º de maio em homenagem aos trabalhadores."
"O que é Dia da Terra?","É comemorado em 22 de abril para conscientização ambiental."
"O que é Dia das Mães?","É uma data comemorada em maio em homenagem às mães."
"O que é Dia dos Pais?","É uma data comemorada em agosto em homenagem aos pais no Brasil."
"O que é Dia das Crianças?","É comemorado em 12 de outubro no Brasil."
"O que é Dia da Mulher?","É celebrado em 8 de março, reconhecendo a luta por igualdade de gênero."
"O que é Olimpíada?","É um evento esportivo internacional realizado a cada quatro anos."
"O que é Copa do Mundo?","É um torneio internacional de futebol organizado pela FIFA."
"O que é Champions League?","É a Liga dos Campeões da UEFA, torneio de clubes de futebol da Europa."
"O que é NBA?","NBA é a liga de basquete profissional dos Estados Unidos."
"O que é Fórmula 1?","É a principal categoria do automobilismo mundial."
"O que é vôlei?","É um esporte coletivo jogado com uma bola e uma rede entre duas equipes."
"O que é tênis?","É um esporte jogado entre dois ou quatro jogadores com raquetes e bola."
"O que é basquete?","É um esporte coletivo em que o objetivo é acertar a bola na cesta do adversário."
"O que é handebol?","É um esporte coletivo jogado com as mãos, com objetivo de marcar gols."
"O que é rugby?","É um esporte coletivo parecido com o futebol americano, mas com regras próprias."
"O que é hóquei no gelo?","É um esporte coletivo jogado no gelo, em que os jogadores usam tacos para marcar gols."
"O que é beisebol?","É um esporte popular nos EUA e Japão, jogado com taco e bola."
"O que é críquete?","É um esporte muito popular na Índia, Inglaterra e Austrália."
"O que é xadrez?","É um jogo de tabuleiro estratégico jogado entre duas pessoas."
"O que é dama?","É um jogo de tabuleiro em que o objetivo é capturar as peças do adversário."
"O que é baralho?","É um conjunto de cartas usado em diversos jogos."
"O que é pôquer?","É um jogo de cartas em que os jogadores apostam baseados em combinações."
"O que é truco?","É um jogo de cartas popular no Brasil, jogado com baralho espanhol."
"O que é UNO?","É um jogo de cartas colorido em que o objetivo é se livrar de todas as cartas."
"O que é dominó?","É um jogo de peças retangulares numeradas em pontos."
"O que é videogame?","É um jogo eletrônico jogado em consoles, computadores ou celulares."
"O que é PlayStation?","É um console de videogame criado pela Sony."
"O que é Xbox?","É um console de videogame criado pela Microsoft."
"O que é Nintendo Switch?","É um console híbrido da Nintendo que pode ser usado portátil ou na TV."
"O que é Minecraft?","Minecraft é um jogo de blocos que permite construir e explorar mundos."
"O que é Roblox?","Roblox é uma plataforma de jogos criados por usuários."
"O que é Fortnite?","Fortnite é um jogo online de batalha em estilo battle royale."
"O que é Free Fire?","Free Fire é um jogo mobile de tiro em estilo battle royale."
"O que é League of Legends?","É um jogo de estratégia online em equipe, conhecido como MOBA."
"O que é Counter-Strike?","É um jogo de tiro em primeira pessoa popular em eSports."
"O que é Valorant?","Valorant é um jogo de tiro tático em equipes desenvolvido pela Riot Games."
"O que é Pokémon?","Pokémon é uma franquia japonesa de jogos, animes e cartas colecionáveis."
"O que é Dragon Ball?","Dragon Ball é um anime e mangá criado por Akira Toriyama."
"O que é Naruto?","Naruto é um anime e mangá sobre ninjas criado por Masashi Kishimoto."
"O que é One Piece?","One Piece é um anime e mangá sobre piratas criado por Eiichiro Oda."
"O que é Cavaleiros do Zodíaco?","É um anime e mangá japonês criado por Masami Kurumada."
"O que é Super Mario?","Super Mario é uma franquia de jogos da Nintendo estrelada pelo personagem Mario."
"O que é Sonic?","Sonic é um personagem de videogame da Sega conhecido por sua velocidade."
"O que é The Legend of Zelda?","É uma franquia de jogos da Nintendo estrelada por Link e Zelda."
"O que é GTA?","GTA é uma série de jogos de mundo aberto criada pela Rockstar Games."
"O que é The Sims?","The Sims é um jogo de simulação de vida criado pela Maxis e publicado pela EA."
"O que é FIFA?","FIFA é uma série de jogos de futebol desenvolvida pela EA Sports."
"O que é PES?","PES, ou Pro Evolution Soccer, é uma série de jogos de futebol da Konami."
"O que é Call of Duty?","É uma franquia de jogos de tiro em primeira pessoa."
"O que é Battlefield?","É uma franquia de jogos de tiro em primeira pessoa focada em batalhas de larga escala."
"O que é Assassin’s Creed?","É uma franquia de jogos de ação e aventura da Ubisoft."
"O que é God of War?","É uma franquia de jogos da Sony baseada na mitologia grega e nórdica."
"O que é Resident Evil?","É uma franquia de jogos de survival horror da Capcom."
"O que é Mortal Kombat?","É uma franquia de jogos de luta famosa por sua violência e fatalities."
"O que é Street Fighter?","É uma franquia de jogos de luta da Capcom."
"O que é Tekken?","É uma franquia de jogos de luta da Bandai Namco."
"O que é Pac-Man?","É um jogo clássico de arcade criado em 1980."
"O que é Tetris?","É um jogo clássico de blocos lançado em 1984."
"O que é Pong?","É considerado o primeiro videogame comercialmente bem-sucedido, lançado em 1972."
"O que é Flappy Bird?","Foi um jogo mobile famoso por sua dificuldade, lançado em 2013."
"O que é Angry Birds?","É um jogo mobile popular lançado em 2009, com pássaros arremessados contra porcos."
"O que é Candy Crush?","É um jogo mobile de combinação de doces."
"O que é Clash of Clans?","É um jogo mobile de estratégia em que se constroem vilas e exércitos."
"O que é Clash Royale?","É um jogo mobile de estratégia em tempo real da Supercell."
"O que é Subway Surfers?","É um jogo mobile de corrida infinita."
"O que é Temple Run?","É um jogo mobile de corrida infinita popular nos anos 2010."
"O que é Among Us?","É um jogo online de dedução social em que jogadores descobrem impostores."
"O que é Fall Guys?","É um jogo online de obstáculos e minijogos."
"O que é Overwatch?","É um jogo de tiro em equipes desenvolvido pela Blizzard."
"O que é World of Warcraft?","É um MMORPG criado pela Blizzard."
"O que é Diablo?","É uma franquia de jogos de RPG de ação da Blizzard."
"O que é StarCraft?","É uma franquia de jogos de estratégia em tempo real."
"O que é Hearthstone?","É um jogo de cartas digital da Blizzard."
"O que é Dota 2?","É um jogo MOBA desenvolvido pela Valve."
"O que é Steam?","Steam é uma plataforma de jogos digitais criada pela Valve."
"O que é Epic Games Store?","É uma loja de jogos digitais criada pela Epic Games."
"O que é Ubisoft?","Ubisoft é uma empresa desenvolvedora e publicadora de jogos."
"O que é Rockstar Games?","É a produtora de jogos como GTA e Red Dead Redemption."
"O que é Electronic Arts?","Electronic Arts, ou EA, é uma das maiores empresas de jogos do mundo."
"O que é Konami?","Konami é uma empresa japonesa de videogames, criadora de PES e Castlevania."
"O que é Sega?","Sega é uma empresa japonesa criadora do Sonic."
"O que é Capcom?","Capcom é uma empresa japonesa de jogos, criadora de Street Fighter e Resident Evil."
"O que é Bandai Namco?","É uma empresa japonesa criadora de Tekken e Dragon Ball Z."
"O que é Square Enix?","É uma empresa japonesa criadora de Final Fantasy e Kingdom Hearts."
"O que é Final Fantasy?","É uma franquia de RPG criada pela Square Enix."
"O que é Kingdom Hearts?","É uma franquia de RPG que mistura personagens da Disney e da Square Enix."
"O que é Metal Gear?","É uma franquia de jogos criada por Hideo Kojima e publicada pela Konami."
"O que é Castlevania?","É uma franquia de jogos de ação e aventura da Konami."
"O que é Megaman?","É uma franquia de jogos de ação e plataforma da Capcom."
